query_id,claim,recall@1,recall@2,recall@3,recall@4,recall@5,precision@1,precision@2,precision@3,precision@4,precision@5
53,طرابلس 06 أكتوبر 2022 (وال)- عبد الحميد الدبيبة، رئيس حكومة الوحدة الوطنية، اجتم,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
54,نظّمت مدينة تاراجونا في إسبانيا مسابقة الهرم البشري الشهيرة لأول مرة منذ انتشار ,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
55,انهيار المشفى الذي تم انشائه في 10 ايام في الصين لعلاج مرضى الكورونا,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,ناسا تخبر بأن الأرض ستشهد 3 أيام ظلام ابتداءا من 21 كانون الثاني / ديسمبر.,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
57,أجلت طائرة مملوكة لوزارة الطوارئ الروسية، اليوم الخميس، 64 شخصًا روسيًا من قطاع ,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
58,فاز ملف قطر بحق استضافة بطولة أمم آسيا 2023 كما أعلن الاتحاد الآسيوي صباح اليوم ,0.0714,0.1429,0.1429,0.2143,0.2857,1.0,1.0,0.6667,0.75,0.8
59,صورة من مطار شرم الشيخ في مصر: وصول 17 ألف سائح على متن 115 رحلة طيران حديثًا.,0.0526,0.1053,0.1579,0.2105,0.2632,1.0,1.0,1.0,1.0,1.0
60,أعلنت وزارة الخارجية التركية اليوم السبت أن تركيا تعتبر نفسها غير قادرة على الاع,0.0556,0.1111,0.1667,0.2222,0.2778,1.0,1.0,1.0,1.0,1.0
61,مقطع فيديو لاشتعال النيران في مبنى مكون من 50 طابقًا في تل أبيب خلال الحرب الإسر,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
62,صحافيّ جزائريّ يهدد آخر بالقتل لأنه وصف تنظيم بطولة شان 2022 في الجزائر “بالفشل”,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
63,فيديو يوثق القبض على طفل يمني عمره 14 سنة، يقاتل في السودان خلال الاشتباكات الأخ,0.0526,0.1053,0.1579,0.1579,0.2105,1.0,1.0,1.0,0.75,0.8
64,الأمير محمد بن سلمان والشيخ محمد بن زايد، في جولة بالسيارة في الرياض التي وصلها ,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
65,صورتان لشاحنة جزائرية تعرضت للقصف، يوم أمس السبت 28 يناير/كانون الثاني، بطائرة م,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,قائد فيلق القدس يتوعد بضرب أميركا 1000 صاروخ عياش ليقطع رأس الأفعى إسرائيل، ويعد,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
67,أنا كفلسطيني عملت لسنوات طويلة واعتبرت فرنسا شريكًا في صنع السلام، وشاركت في عام,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
68,وزارة الخارجية الروسية أعلنت اليوم الاثنين عن طرد 40 دبلوماسياً ألمانياً من أراض,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
69,تغلب منتخب أستراليا على منتخب نيوزيلندا 1-0 اليوم الخميس في آخر مباراة ودية للفر,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
70,"بعد مرور عشرين عامًا على هجمات 11 سبتمبر، تستمر الولايات المتحدة في ""الحرب على ا",0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
71,رسميًّا: منتصر الطالبي في المرتبة الأولى كأفضل مدافع في الكان ويحتل المرتبة 12 ل,0.0,0.0667,0.1333,0.1333,0.2,0.0,0.5,0.6667,0.5,0.6
72,سلطنة عُمان تفرض غرامة مالية قيمتها 2 مليون دينار تونسي لمن يدعي أنّ لديه علاجاً,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
73,الاتحاد الدولي لكرة القدم يدرس إجراء أربعة تعديلات على قوانين كرة القدم.,0.0,0.0833,0.1667,0.25,0.3333,0.0,0.5,0.6667,0.75,0.8
74,تحصل النساء العاملات في شرق ألمانيا على أجور تزيد في المتوسط بمقدار 82 يورو مقار,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
75,تعويضات صينية 35 مليون دولار للمتضرر من الصاروخ,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
76,صوّتت غالبية أعضاء برلمان إقليم كردستان العراق لصالح قانون تمديد الدورة البرلمان,0.0526,0.1053,0.1579,0.2105,0.2632,1.0,1.0,1.0,1.0,1.0
77,يمكنكم متابعة مباراة الكلاسيكو بين برشلونة وريال مدريد بشكل مباشر وحصري على قناة,0.0,0.0833,0.1667,0.25,0.25,0.0,0.5,0.6667,0.75,0.6
78,بنزيما أصبح ثاني لاعب في تاريخ ريال مدريد يسجل هاتريك في الكلاسيكو ضد برشلونة بع,0.0526,0.1053,0.1579,0.2105,0.2632,1.0,1.0,1.0,1.0,1.0
79,فرنسا قررت طباعة صورة الفنان الأرمني الفرنسي شارل أزنافور على عملة ورقية بقيمة 1,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
80,صورة من الذكرى الثانية للحراك الجزائري 22 فبراير/شباط 2021.,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.25,0.2
81,أعلنت لجنة أطباء السودان المركزية، يوم الثلاثاء، عن إصابة 73 متظاهراً خلال احتجا,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
82,الرئيس عبد الفتاح السيسي وافق على بناء معبد يهودي في العاصمة الإدارية الجديدة بت,0.0,0.0,0.0,0.0,0.1111,0.0,0.0,0.0,0.0,0.2
83,يقوم بنك مصر بتوفير خدمة تقسيط مصاريف المدارس لعملائه من حاملي البطاقات الائتمان,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,فُقد شخص واحد وأصيب أربعة آخرون بجروح وحروق بدرجات مختلفة بسبب الانفجار والحريق ,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
85,في ديسمبر/ كانون الأول من عام 2010، نفذ رجل عملية انتحارية في وسط ستوكهولم، وقُت,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
86,مصرف #سوريا المركزي يحدد سعر الدولار بـ 2525 ليرة سورية بينما يتجاوز سعره في الس,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333,0.25,0.2
87,"عودة جوني ديب لأداء شخصية ""جاك سبارو"" مقابل 301 مليون دولار",0.5,0.5,1.0,1.0,1.0,1.0,0.5,0.6667,0.5,0.4
88,تجدر الإشارة إلى أن حفل توزيع جوائز الأوسكار سيُقام في 9 فبراير القادم في لوس أن,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
89,الوكيل الإخباري – توجت الجزائر بلقب كأس أمم أفريقيا 2019 بعد تحقيق الفوز في المب,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
90,بعد المساعدات و الأسلحة التي قدّمها المغرب إلى الكيان الصّـهيوني ونزول 4 طائرات ,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
91,نجاح التلميذتين الشقيقتين من ولاية تمنراست الجزائرية في شهادة البكالوريا “الثانو,0.0556,0.1111,0.1667,0.2222,0.2778,1.0,1.0,1.0,1.0,1.0
92,مقطع فيديو لناقلة الجند وآثار العملية التي قُتل فيها ثمانية جنود إسرائيليين خلال,0.0769,0.1538,0.2308,0.3077,0.3846,1.0,1.0,1.0,1.0,1.0
93,صورة لفتاة بريطانية وضعت مولودها الأول بسن الـ11 عامًا بتاريخ 27 يونيو/حزيران 20,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
94,صرّح سلامة الجبالي، ممثل قطاع السيارات والآليات الثقيلة ولوازمها في غرفة تجارة ا,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
95,"كشفت ""خلية الإعلام الأمني"" في ""العراق""، اليوم الخميس، عن إصابة عدد من المدنيين و",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,تقع قرية (وكان) في سلطنة عمان يصوم أهلها ثلاث ساعات فقط، حيث تشرق الشمس فيها 11 ,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
97,ثم تسافر الفتاة مع أخيها في رحلتها إلى طهران لتقطع مسافة ٦٠٠ كيلومتر إلى الموقع ,0.0526,0.1053,0.1579,0.2105,0.2105,1.0,1.0,1.0,1.0,0.8
98,أستراليا تودع عام 2020 بحرائق كبيرة وآلاف السكان يغادرون منازلهم.,0.0526,0.1053,0.1579,0.2105,0.2632,1.0,1.0,1.0,1.0,1.0
99,تقام المرحلة النهائية من دوري المحترفين للرياضات الإلكترونية في الشرق الأوسط وشم,0.0526,0.0526,0.1053,0.1579,0.2105,1.0,0.5,0.6667,0.75,0.8
100,اليوم السابع تنشر استطلاع رأي يفيد برضاء 92% من المصريين عن السيسي.,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
101,في اجتماع دافوس 2024 احد المشاركين في المنتدى الاقتصادي العالمي يفعل ما لا يمكن ,0.0,0.0,0.0,0.125,0.25,0.0,0.0,0.0,0.25,0.4
102,"راشد الغنوشي ""15 برلمانيًّا أوروبيًّا سيشهدون على عودة البرلمان للعمل الأسبوع ال",0.0526,0.1053,0.1579,0.2105,0.2632,1.0,1.0,1.0,1.0,1.0
103,"ترامب قبل أربع سنوات يقول: ""تجمع المسلمين حول الكعبة في هذا المكان بهذا الشكل يز",0.0714,0.0714,0.1429,0.2143,0.2857,1.0,0.5,0.6667,0.75,0.8
104,ألف سوري حصلوا على الجنسية التركية,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
105,صورة لاحتفال كريستيانو رونالدو بالهدف الأول لبرونو فرنانديز في مباراة البرتغال ض,0.0588,0.1176,0.1765,0.2353,0.2941,1.0,1.0,1.0,1.0,1.0
106,"الصورة الشهيرة التي التقطت في مثل هذا اليوم عام 1930 لـ ""هوغي""، وحش بحيرة +هوغان",0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
107,امرأة في الهند تلـد 11 طفلا وتحطم رقم جينيس القياسي,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
108,صورة لعصابة تخطف البنات والأطفال، تحت تأثير المخدر ثم تسرق الأعضاء من أجسادهم، ب,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
109,المحاكم في ليبيا تُعلن عن 276 حالة طلاق، منذ بداية شهر رمضان الجاري.,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
110,ليبيا – صرّح مدير شركة الخدمات العامة طرابلس محمد إسماعيل بخصوص أزمة مياه الأمطا,0.0526,0.1053,0.1579,0.1579,0.2105,1.0,1.0,1.0,0.75,0.8
111,فيديو لابنة تشارلي شابلن، التي احتفظت بعصا والدها 70 سنة، ثم يأتي هذا المهبول وي,0.0,0.0625,0.125,0.1875,0.25,0.0,0.5,0.6667,0.75,0.8
112,٣٤٣ مليون يورو كلفة مساهمة لبنان بالمحكمة الدولية,0.0556,0.1111,0.1667,0.2222,0.2778,1.0,1.0,1.0,1.0,1.0
113,اليوم هو أول كسوف يحدث في الجزيرة العربية منذ مئة عام ويسمى بالكسوف الحلقي,0.1,0.1,0.2,0.2,0.3,1.0,0.5,0.6667,0.5,0.6
114,طبيبان سوريان يستريحان على الأرض في إحدى المستشفيات الحكومية في العاصمة دمشق، بع,0.1,0.1,0.2,0.3,0.3,1.0,0.5,0.6667,0.75,0.6
115,أربعة أشخاص يعلنون إسلامهم في كأس العالم أمام الدكتور ذاكر نايك,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,صرّح والي إسطنبول علي يرلي قايا، يوم السبت، بأن أكثر من 10 ملايين سائح أجنبي قام,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,كشفت الفنانة الأردنية نداء شرارة عن وفاة شقيقها البالغ من العمر 26 عاماً صباح ال,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
118,عثرت الوحدات الأمنية التونسية، مساء الخميس، على 15 جثة متحللة يُعتقد أنها تعود ل,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
119,برقية تعزية ومواساة من جلالة الملك إلى رئيس الوزراء الإسرائيلي بنيامين نتنياهو، ,0.0,0.0526,0.1053,0.1579,0.2105,0.0,0.5,0.6667,0.75,0.8
120,المدير التنفيذي لشركة سيمنس الألمانية، كريستيان بروخ، يقول إنّ “ما يحدث للشبكة ا,0.0,0.0769,0.1538,0.2308,0.3077,0.0,0.5,0.6667,0.75,0.8
121,افتتاح إجازات عيد الفطر من تركيا إلى سوريا بتاريخ 10 آذار الجاري,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
122,قررت شركة الخطوط الجوية التركية إلغاء جميع رحلاتها المقررة إلى كازاخستان حتى 9 ي,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
123,الديوان الملكي السعودي يعلن وفاة الملك سلمان بن عبدالعزيز آل سعود عن عمر ناهز ال,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
124,الفنان ميلاد يوسف يتعرض للضرب إثر مشاجرة مع 4 شباب في منطقة المزة في دمشق,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
125,جاء ذلك بالتزامن مع إعلان المكتب الاتحادي للإحصاء في ألمانيا عن ارتفاع معدل التض,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
126,سجل فريق أسمنت أسيوط هدف التقدم في الدقيقة الثانية من المباراة، وأحرز محمد العطا,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,"قال رئيس البنك الدّولي في إحدى المؤتمرات ""عندما أعلنت عن منحة 10 مليار دولار للد",0.0,0.0833,0.0833,0.1667,0.25,0.0,0.5,0.3333,0.5,0.6
128,"صرح عبد الجليل عبر برنامج الريمونتادا على قناة المحور قائلاً: ""أعطي منتخب مصر تق",0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
129,مباراة ليفربول ضد مانشستر سيتي تُقام في تمام الساعة 5:30 مساءً وتُبث على قناة be,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,صورة الشاب عبد الرحمن أبو جعفر الذي استقبل الأسيرين أيهم كمنجي ومناضل نفيعات في ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,أعلن الهلال الأحمر الليبي عن انتشال جثث 22 مهاجراً قبالة سواحل مدينة زوارة بغرب ,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
132,يتم صب 14 مليار متر مكعب من الخرسانة سنوياً، وفقاً للجمعية العالمية للأسمنت والخ,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
133,قضت محكمة جنايات القاهرة برئاسة المستشار وجدى عبدالمنعم بمعاقبة متهم بالسجن 15 س,0.0,0.0,0.1667,0.1667,0.1667,0.0,0.0,0.3333,0.25,0.2
134,قتلت طفلة وأُصيب اثنان من أشقائها، إثر انفجار لغم من مخلفات ميليشيات الحوثي الإر,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,الاحصائيات الديموغرافية لسكان كوكب الارض حسب الامم المتحدة لسنة 2019 بلغ سكان ال,0.0556,0.1111,0.1111,0.1667,0.2222,1.0,1.0,0.6667,0.75,0.8
136,مساعدات مالية بقيمة ٥٠٠٠ دولار (الارسال عبر الويسترن MTCN) مقدمة من مؤسسة الوفاء,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
138,هيونج مين سون نجم توتنهام وصلاح كانا هدافي البريميرليج في الموسم الماضي برصيد 23,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
139,صحيفة ذا واشنطن تايمز نشرت خبر فوز آل غور على جورج بوش في الانتخابات الأميركية ع,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
140,كما تم تكريم البنك المركزي المصري لوصوله إلى المرحلة النهائية - من بين 3 دول - ف,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,اشتهر جوناثان ريتشز، المولود عام 1976 في ولاية بنسلفانيا الأمريكية، بسجله الحافل,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
142,مقطع فيديو لتساقط الثلوج في مطار الملكة علياء في الأردن يوم 20 ديسمبر/كانون الأو,0.0526,0.1053,0.1579,0.2105,0.2632,1.0,1.0,1.0,1.0,1.0
143,المقاومة الفلسطينية تطلع صاروخ باتجاه طائرة اسرائيلية تحمل 5 ضباط,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
144,‏ساديو ماني: نحن الأفارقة نعاني من العنصرية المقيتة، ولا يشجّعنا أحد رغم أننا نم,0.0526,0.1053,0.1579,0.2105,0.2632,1.0,1.0,1.0,1.0,1.0
145,فيديو لاستسلام 300 عنصر من قوات الدعم السريع للجيش السوداني، في مدينة بحري، حديث,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
